workload_id,fragment_id,question,gt_answer,priors_correct,baseline_correct,oracle_redacted_correct,orig_len,redacted_len,destruction_frac,has_error
c1-a-000,c1-a-000/contract_db,Did contract_db for project P-1794 record at least 30 hours?,yes,0.0,1.0,0.0,147,160,-0.08843537414965996,False
c1-a-000,c1-a-000/contract_db,Did contract_db for project P-1794 commit at least EUR 27204 in budget?,no,1.0,1.0,1.0,147,160,-0.08843537414965996,False
c1-a-000,c1-a-000/moodle,Did moodle for project P-1794 record at least 148 hours?,yes,0.0,1.0,0.0,154,166,-0.07792207792207795,False
c1-a-000,c1-a-000/moodle,Did moodle for project P-1794 commit at least EUR 18772 in budget?,no,1.0,1.0,1.0,154,166,-0.07792207792207795,False
c1-a-000,c1-a-000/tatu_sap,Did tatu_sap for project P-1794 record at least 12 hours?,yes,0.0,1.0,0.0,144,157,-0.09027777777777768,False
c1-a-000,c1-a-000/tatu_sap,Did tatu_sap for project P-1794 commit at least EUR 51822 in budget?,no,1.0,1.0,1.0,144,157,-0.09027777777777768,False
c1-a-001,c1-a-001/contract_db,Did contract_db for project P-3654 record at least 203 hours?,no,1.0,1.0,1.0,151,163,-0.07947019867549665,False
c1-a-001,c1-a-001/contract_db,Did contract_db for project P-3654 commit at least EUR 46900 in budget?,no,1.0,1.0,1.0,151,163,-0.07947019867549665,False
c1-a-001,c1-a-001/peppi,Did peppi for project P-3654 record at least 165 hours?,no,1.0,1.0,1.0,141,154,-0.09219858156028371,False
c1-a-001,c1-a-001/peppi,Did peppi for project P-3654 commit at least EUR -3933 in budget?,yes,1.0,0.0,0.0,141,154,-0.09219858156028371,False
c1-a-001,c1-a-001/sap_travel,Did sap_travel for project P-3654 record at least 90 hours?,yes,0.0,1.0,0.0,162,176,-0.08641975308641969,False
c1-a-001,c1-a-001/sap_travel,Did sap_travel for project P-3654 commit at least EUR -3733 in budget?,yes,1.0,0.0,0.0,162,176,-0.08641975308641969,False
c1-a-002,c1-a-002/contract_db,Did contract_db for project P-3119 record at least 166 hours?,yes,0.0,1.0,0.0,151,163,-0.07947019867549665,False
c1-a-002,c1-a-002/contract_db,Did contract_db for project P-3119 commit at least EUR 33800 in budget?,no,1.0,1.0,1.0,151,163,-0.07947019867549665,False
c1-a-002,c1-a-002/peppi,Did peppi for project P-3119 record at least 185 hours?,no,1.0,1.0,1.0,159,171,-0.07547169811320753,False
c1-a-002,c1-a-002/peppi,Did peppi for project P-3119 commit at least EUR 25242 in budget?,no,1.0,1.0,1.0,159,171,-0.07547169811320753,False
c1-a-002,c1-a-002/crm,Did crm for project P-3119 record at least 175 hours?,no,1.0,1.0,1.0,142,155,-0.09154929577464799,False
c1-a-002,c1-a-002/crm,Did crm for project P-3119 commit at least EUR -365 in budget?,yes,0.0,0.0,0.0,142,155,-0.09154929577464799,False
c1-a-003,c1-a-003/publication_db,Did publication_db for project P-5697 record at least 88 hours?,yes,0.0,1.0,0.0,166,179,-0.07831325301204828,False
c1-a-003,c1-a-003/publication_db,Did publication_db for project P-5697 commit at least EUR 47356 in budget?,no,1.0,1.0,1.0,166,179,-0.07831325301204828,False
c1-a-003,c1-a-003/peppi,Did peppi for project P-5697 record at least 173 hours?,no,1.0,1.0,1.0,159,171,-0.07547169811320753,False
c1-a-003,c1-a-003/peppi,Did peppi for project P-5697 commit at least EUR 21756 in budget?,no,1.0,1.0,1.0,159,171,-0.07547169811320753,False
c1-a-003,c1-a-003/crm,Did crm for project P-5697 record at least 72 hours?,yes,0.0,1.0,0.0,150,163,-0.08666666666666667,False
c1-a-003,c1-a-003/crm,Did crm for project P-5697 commit at least EUR 15202 in budget?,no,1.0,1.0,1.0,150,163,-0.08666666666666667,False
c1-a-003,c1-a-003/tatu_sap,Did tatu_sap for project P-5697 record at least 194 hours?,yes,0.0,1.0,0.0,156,168,-0.07692307692307687,False
c1-a-003,c1-a-003/tatu_sap,Did tatu_sap for project P-5697 commit at least EUR 33013 in budget?,yes,0.0,0.0,0.0,156,168,-0.07692307692307687,False
c1-a-003,c1-a-003/sap_travel,Did sap_travel for project P-5697 record at least 68 hours?,yes,0.0,1.0,0.0,146,159,-0.08904109589041087,False
c1-a-003,c1-a-003/sap_travel,Did sap_travel for project P-5697 commit at least EUR 17270 in budget?,no,1.0,1.0,1.0,146,159,-0.08904109589041087,False
c1-a-004,c1-a-004/moodle,Did moodle for project P-7632 record at least 46 hours?,yes,0.0,1.0,0.0,145,158,-0.08965517241379306,False
c1-a-004,c1-a-004/moodle,Did moodle for project P-7632 commit at least EUR 6483 in budget?,yes,0.0,0.0,0.0,145,158,-0.08965517241379306,False
c1-a-005,c1-a-005/contract_db,Did contract_db for project P-8072 record at least 157 hours?,no,1.0,1.0,1.0,169,181,-0.07100591715976323,False
c1-a-005,c1-a-005/contract_db,Did contract_db for project P-8072 commit at least EUR 34457 in budget?,yes,0.0,0.0,0.0,169,181,-0.07100591715976323,False
c1-a-005,c1-a-005/peppi,Did peppi for project P-8072 record at least 156 hours?,yes,0.0,1.0,0.0,153,165,-0.07843137254901955,False
c1-a-005,c1-a-005/peppi,Did peppi for project P-8072 commit at least EUR 38063 in budget?,yes,0.0,0.0,0.0,153,165,-0.07843137254901955,False
c1-a-005,c1-a-005/sap_travel,Did sap_travel for project P-8072 record at least 67 hours?,no,1.0,1.0,1.0,167,180,-0.07784431137724557,False
c1-a-005,c1-a-005/sap_travel,Did sap_travel for project P-8072 commit at least EUR 29007 in budget?,yes,0.0,0.0,0.0,167,180,-0.07784431137724557,False
